osm_id,lat,lon,name,amenity,railway,shop,leisure,code_postal,category,region
786868886,48.8304197,2.5669449,Mairie annexe des Richardets,townhall,,,,93160,admin_sante,Île-de-France
796694179,48.8645286,2.5727813,Mairie de Gournay-sur-Marne,townhall,,,,,admin_sante,Île-de-France
802754513,48.7153095,2.1401229,,townhall,,,,,admin_sante,Île-de-France
912616934,48.8670996,1.6151971,Mairie de Civry-la-Forêt,townhall,,,,,admin_sante,Île-de-France
929273718,48.8312664,1.6087621,,townhall,,,,,admin_sante,Île-de-France
935323066,48.8358400,1.6747977,,townhall,,,,,admin_sante,Île-de-France
977194624,48.8435512,2.3549103,Clinique Geoffroy Saint-Hilaire,hospital,,,,,admin_sante,Île-de-France
980768724,48.6647498,2.8421817,,townhall,,,,,admin_sante,Île-de-France
988712796,48.8041432,1.6665790,Mairie de Bazainville,townhall,,,,,admin_sante,Île-de-France
1076887300,48.7079576,1.8139161,Mairie des Bréviaires,townhall,,,,,admin_sante,Île-de-France
1094698945,48.7213700,1.9485906,Mairie de Lévis-Saint-Nom,townhall,,,,,admin_sante,Île-de-France
1134185135,48.8914896,1.6304024,Mairie de Montchauvet,townhall,,,,,admin_sante,Île-de-France
1161183226,48.9029526,1.6185455,,townhall,,,,,admin_sante,Île-de-France
1166838223,48.8212341,1.9865856,Mairie des Clayes-sous-Bois,townhall,,,,78340,admin_sante,Île-de-France
1185035309,48.9470923,2.5091224,Mairie Annexe,townhall,,,,,admin_sante,Île-de-France
1218073788,48.9706818,1.8329224,Mairie Annexe d'Épône,townhall,,,,,admin_sante,Île-de-France
1219372183,49.0155300,1.4831704,,townhall,,,,,admin_sante,Île-de-France
1224158095,48.8354040,2.2444495,Centre d'Exploration Digestive de l'Enfant,hospital,,,,,admin_sante,Île-de-France
1225995858,48.9720913,1.8457876,Mairie annexe d'Aubergenville,townhall,,,,,admin_sante,Île-de-France
1227093802,48.8240312,2.9581981,Marie de Guérard,townhall,,,,,admin_sante,Île-de-France
1235711693,48.6064002,2.8905104,Mairie de Mormant,townhall,,,,,admin_sante,Île-de-France
1241170657,48.9940719,1.5153113,,townhall,,,,,admin_sante,Île-de-France
1251218836,48.8739809,3.2520809,,townhall,,,,,admin_sante,Île-de-France
1257068657,48.8055478,1.7646756,,townhall,,,,,admin_sante,Île-de-France
1307025380,49.2066190,1.6798125,Mairie de Saint-Clair-sur-Epte,townhall,,,,,admin_sante,Île-de-France
1313079129,48.5602425,3.2991549,,townhall,,,,,admin_sante,Île-de-France
1411497662,48.9105441,2.2201945,Mairie de quartier du Petit Nanterre,townhall,,,,,admin_sante,Île-de-France
1462112612,48.8604665,2.2777715,Clinique de la Muette,hospital,,,,,admin_sante,Île-de-France
1463051093,49.1405219,1.7207190,Mairie d'Omerville,townhall,,,,,admin_sante,Île-de-France
1467568769,49.1260779,1.8143610,,townhall,,,,,admin_sante,Île-de-France
1473359379,48.6890757,2.1156910,Mairie Annexe,townhall,,,,91190,admin_sante,Île-de-France
1475296413,48.3782026,2.7947768,Mairie déléguée de Veneux-les-Sablons,townhall,,,,77250,admin_sante,Île-de-France
1505745193,48.7814946,3.3057584,Hôtel de Ville,townhall,,,,,admin_sante,Île-de-France
1506143575,48.6944761,1.8544737,Mairie du Perray-en-Yvelines,townhall,,,,78610,admin_sante,Île-de-France
1512016470,48.5095938,3.2008061,Mairie de Savins,townhall,,,,,admin_sante,Île-de-France
1560522411,48.9804001,1.6724102,,townhall,,,,,admin_sante,Île-de-France
1564292030,49.1395160,1.6616079,Mairie de Bray-et-Lû,townhall,,,,,admin_sante,Île-de-France
1590040632,49.0713436,1.7769381,Mairie d'Aincourt,townhall,,,,,admin_sante,Île-de-France
1596035484,48.9790900,1.9754759,Mairie de Verneuil-sur-Seine,townhall,,,,,admin_sante,Île-de-France
1598367795,48.4376201,2.3535536,Mairie de Vayres-sur-Essonne,townhall,,,,,admin_sante,Île-de-France
1599091455,49.1028058,1.8352847,Mairie de Wy-dit-Joli-Village,townhall,,,,,admin_sante,Île-de-France
1601746460,48.3824482,2.4738175,Mairie de Oncy-sur-École,townhall,,,,91490,admin_sante,Île-de-France
1611834109,48.6894945,2.3754850,Espace Marianne,townhall,,,,,admin_sante,Île-de-France
1612321668,49.0942209,1.7885306,Mairie d'Arthies,townhall,,,,,admin_sante,Île-de-France
1636457731,48.7357114,3.1936419,,townhall,,,,,admin_sante,Île-de-France
1645394958,48.7626577,3.0866676,Mairie déléguée de Beautheil,townhall,,,,,admin_sante,Île-de-France
1645490649,48.7892963,3.1244688,Mairie de Chailly-en-Brie,townhall,,,,,admin_sante,Île-de-France
1649515769,48.7357338,3.0121031,Mairie de Touquin,townhall,,,,,admin_sante,Île-de-France
1656066438,48.4526433,3.3509934,,townhall,,,,,admin_sante,Île-de-France
1671858829,48.5508322,3.0653284,,townhall,,,,77370,admin_sante,Île-de-France
1674752351,48.7783870,1.8751293,,townhall,,,,,admin_sante,Île-de-France
1684818336,48.8426449,2.3435197,Institut Curie,hospital,,,,,admin_sante,Île-de-France
1701323426,49.0040057,2.9272255,Mairie de Varreddes,townhall,,,,77910,admin_sante,Île-de-France
1744066136,48.9409347,2.8730666,Clinique Saint-Faron,hospital,,,,,admin_sante,Île-de-France
1747622827,48.7707672,2.0703996,Mairie de Guyancourt,townhall,,,,78280,admin_sante,Île-de-France
1749496212,48.8182985,2.4666633,Mairie de Joinville-le-Pont,townhall,,,,94340,admin_sante,Île-de-France
1763282456,48.7904711,2.2617123,Clinique du Plateau,hospital,,,,,admin_sante,Île-de-France
1763978698,48.8758193,3.2959457,,townhall,,,,77510,admin_sante,Île-de-France
1765077223,48.7896135,1.6022247,Hôtel de Ville,townhall,,,,,admin_sante,Île-de-France
1767314931,48.5399681,3.2819561,Mairie de Poigny,townhall,,,,,admin_sante,Île-de-France
1768419851,48.9039701,2.3463936,CMS et PMI Bauer,hospital,,,,,admin_sante,Île-de-France
1769274646,49.0759718,2.1060655,Mairie d'Ennery,townhall,,,,,admin_sante,Île-de-France
1774708687,48.8905589,1.5779965,,townhall,,,,,admin_sante,Île-de-France
1800265378,49.0510582,2.2059266,Mairie de Frépillon,townhall,,,,,admin_sante,Île-de-France
1802297613,48.8003661,2.7040654,Mairie de Pontcarré,townhall,,,,77135,admin_sante,Île-de-France
1802822994,48.8817351,1.5729199,Mairie de Tilly,townhall,,,,,admin_sante,Île-de-France
1813700731,48.9664400,2.7002838,Mairie de Messy,townhall,,,,,admin_sante,Île-de-France
1813762830,48.9272633,2.8594965,Mairie de Mareuil-lès-Meaux,townhall,,,,,admin_sante,Île-de-France
1833224383,48.6466809,2.0480567,Mairie de Pecqueuse,townhall,,,,,admin_sante,Île-de-France
1835463668,48.6468366,2.1563727,Mairie de Janvry,townhall,,,,91640,admin_sante,Île-de-France
1854311749,49.0482032,1.6005501,,townhall,,,,,admin_sante,Île-de-France
1863066949,48.7320699,2.6286378,Mairie de Férolles-Attilly,townhall,,,,77150,admin_sante,Île-de-France
1863067777,48.7443213,2.6160839,,townhall,,,,,admin_sante,Île-de-France
1867285424,48.9490568,1.9241501,Mairie d'Ecquevilly,townhall,,,,,admin_sante,Île-de-France
1871845647,48.8832871,2.8510557,Mairie de Saint-Germain-sur-Morin,townhall,,,,77860,admin_sante,Île-de-France
1882311181,48.8394468,1.7019362,Mairie d'Orgerus,townhall,,,,,admin_sante,Île-de-France
1905675335,48.9138474,1.9186477,,townhall,,,,,admin_sante,Île-de-France
1906783179,48.7088453,2.5221406,Mairie annexe de Brunoy,townhall,,,,,admin_sante,Île-de-France
1928821771,48.5530666,1.9117072,Mairie de Ponthévrard,townhall,,,,,admin_sante,Île-de-France
1935226126,48.5929915,2.1448655,,townhall,,,,,admin_sante,Île-de-France
1936537145,48.8815017,2.6907650,Mairie de Pomponne,townhall,,,,,admin_sante,Île-de-France
1937590523,48.7959290,1.7960773,Mairie de Galluis,townhall,,,,,admin_sante,Île-de-France
1942720431,48.4583641,1.8963566,Mairie d'Allainville-aux-Bois,townhall,,,,,admin_sante,Île-de-France
1944554341,49.1674909,2.2198152,,townhall,,,,,admin_sante,Île-de-France
1945941131,48.8999756,2.2388567,La Cité des Fleurs,hospital,,,,,admin_sante,Île-de-France
1959359057,48.8607815,2.1398028,Mairie de Bougival,townhall,,,,,admin_sante,Île-de-France
2022863169,48.8201025,2.2244585,Maison de Santé de Bellevue,hospital,,,,,admin_sante,Île-de-France
2049616961,49.1516397,1.7869751,Mairie de Magny-en-Vexin,townhall,,,,,admin_sante,Île-de-France
2089723521,48.8781498,2.2912675,Hôpital Marmottan,hospital,,,,,admin_sante,Île-de-France
2094853686,48.4034789,2.4668973,Mairie de Milly-la-Forêt,townhall,,,,,admin_sante,Île-de-France
2112365042,48.9602031,2.5385925,Clinique de l'Alliance,hospital,,,,,admin_sante,Île-de-France
2116897938,48.7564665,1.8817522,Mairie de Saint-Rémy-l'Honoré,townhall,,,,78690,admin_sante,Île-de-France
2133843888,48.8744165,1.9738243,Mairie de Feucherolles,townhall,,,,,admin_sante,Île-de-France
2172231532,48.7371763,2.0919880,Mairie de Châteaufort,townhall,,,,,admin_sante,Île-de-France
2178593624,48.3163761,2.5692884,Mairie de La Chapelle-la-Reine,townhall,,,,77760,admin_sante,Île-de-France
2271103494,48.2667278,2.6936506,Mairie de Nemours,townhall,,,,,admin_sante,Île-de-France
2282193050,48.9397688,2.6171866,Hôtel de ville de Villeparisis,townhall,,,,,admin_sante,Île-de-France
2287682234,49.0431501,2.2992874,Mairie de Bouffémont,townhall,,,,,admin_sante,Île-de-France
2339162720,48.7683641,1.9491355,Mairie d'Élancourt,townhall,,,,,admin_sante,Île-de-France
2343435328,48.7900219,2.3128338,Mairie Annexe,townhall,,,,,admin_sante,Île-de-France
2344096893,48.9961342,2.1991305,Mairie annexe de Montigny Les Cormeilles,townhall,,,,,admin_sante,Île-de-France
2354686511,48.4275765,2.0646087,Mairie de Chalo-Saint-Mars,townhall,,,,91780,admin_sante,Île-de-France
2362233346,48.4882320,2.7005989,,townhall,,,,,admin_sante,Île-de-France
2371102157,48.8406856,1.8188306,,townhall,,,,,admin_sante,Île-de-France
2374211954,48.8148124,1.8637328,Mairie de Neauphle-le-Vieux,townhall,,,,,admin_sante,Île-de-France
2382651120,48.8319005,2.0428218,Mairie de Rennemoulin,townhall,,,,,admin_sante,Île-de-France
2383709781,48.7784245,1.8599843,Mairie de Bazoches-sur-Guyonne,townhall,,,,,admin_sante,Île-de-France
2388692636,48.7400599,1.9602030,Mairie du Mesnil-Saint-Denis,townhall,,,,,admin_sante,Île-de-France
2389919894,48.8381733,1.8364073,Mairie de Saulx-Marchais,townhall,,,,,admin_sante,Île-de-France
2390520091,48.7312789,2.0198695,Mairie de Saint-Lambert-des-Bois,townhall,,,,78470,admin_sante,Île-de-France
2391501025,48.9717210,1.9478536,Clinique de Bazincourt,hospital,,,,,admin_sante,Île-de-France
2395437286,48.7876237,1.8200022,Mairie de Méré,townhall,,,,,admin_sante,Île-de-France
2397716263,48.8942393,1.8655888,Mairie de Mareil-sur-Mauldre,townhall,,,,,admin_sante,Île-de-France
2474206710,48.3929016,2.3059176,Mairie de Valpuiseaux,townhall,,,,91720,admin_sante,Île-de-France
2479592842,48.6823678,2.2366231,Mairie de Villejust,townhall,,,,,admin_sante,Île-de-France
2481182616,48.3962092,2.9549039,Mairie Annexe,townhall,,,,,admin_sante,Île-de-France
2501478175,48.7410484,2.2813687,Mairie Annexe Pajeaud,townhall,,,,,admin_sante,Île-de-France
2515696384,48.5866637,2.2591726,Mairie de La Norville,townhall,,,,91290,admin_sante,Île-de-France
2549459541,48.1751441,2.8722117,Mairie d'Egreville,townhall,,,,,admin_sante,Île-de-France
2635167096,48.9781516,3.2208495,Marie de Nanteuil-sur-Marne,townhall,,,,,admin_sante,Île-de-France
2639777856,48.9152185,2.6299767,,townhall,,,,,admin_sante,Île-de-France
2640857786,48.6648299,2.4218455,Hôpital des Cheminots,hospital,,,,,admin_sante,Île-de-France
2656471395,48.9460802,2.6882608,Hôtel de Ville de Claye-Souilly,townhall,,,,,admin_sante,Île-de-France
2702498234,48.8133902,2.5108837,Hôtel de Ville,townhall,,,,94500,admin_sante,Île-de-France
2707002396,48.4522276,2.4748066,Mairie de Dannemois,townhall,,,,91490,admin_sante,Île-de-France
2734995732,48.4207160,3.2441140,,townhall,,,,,admin_sante,Île-de-France
2736241737,48.4102161,3.2285815,,townhall,,,,,admin_sante,Île-de-France
2736241740,48.4150130,3.2395622,,townhall,,,,,admin_sante,Île-de-France
2739384532,48.4064093,3.3102508,Mairie de Villenauxe-la-Petite,townhall,,,,,admin_sante,Île-de-France
2744264832,48.4673186,3.2522984,,townhall,,,,,admin_sante,Île-de-France
2789767915,48.7218821,2.5332604,Mairie de Villecresnes,townhall,,,,,admin_sante,Île-de-France
2792503310,48.4525788,3.0607387,Mairie de Montigny-Lencoup,townhall,,,,77520,admin_sante,Île-de-France
2811576032,48.5274838,2.7545592,Mairie de Sivry-Courtry,townhall,,,,,admin_sante,Île-de-France
2836325849,48.7720159,2.2539035,Mairie Annexe,townhall,,,,,admin_sante,Île-de-France
2846230684,49.0399861,1.9413215,,townhall,,,,,admin_sante,Île-de-France
2901068912,48.8089694,2.5728172,Hôtel de Ville,townhall,,,,,admin_sante,Île-de-France
2902258515,48.6783359,2.1380757,Mairie de Gometz-le-Châtel,townhall,,,,91940,admin_sante,Île-de-France
2920249105,48.7151024,2.2471354,Annexe de la Mairie,townhall,,,,,admin_sante,Île-de-France
2924827263,48.8856585,2.3878153,Clinique Canal de L'ourcq,hospital,,,,,admin_sante,Île-de-France
2947769944,48.9759830,2.1996347,Mairie de Cormeilles-en-Parisis,townhall,,,,,admin_sante,Île-de-France
2965579743,48.5099983,3.2895701,,townhall,,,,,admin_sante,Île-de-France
3024644382,48.9185481,2.7620471,,townhall,,,,,admin_sante,Île-de-France
3039943744,49.0565358,2.9891828,,townhall,,,,,admin_sante,Île-de-France
