annee;code_postal;prix_m2;dep_code;dep_nom;reg_code;reg_nom;population;superficie_km2;zone_emploi;taux_global_tfb;taux_global_tfnb;taux_plein_teom;taux_global_th;nb_ventes;variation;y
2022;1420.0;2538.7406099670566;01;Ain;84.0;Auvergne-Rhône-Alpes;3048.0;56.0;8416.0;38.82;118.47;9.95;28.63;725;;stable
2022;1430.0;2046.927421062154;01;Ain;84.0;Auvergne-Rhône-Alpes;4111.0;104.0;8425.0;38.82;118.47;9.95;28.630000000000003;300;;stable
2022;1440.0;12045.878225054805;01;Ain;84.0;Auvergne-Rhône-Alpes;6595.0;45.0;8405.0;38.82;118.47;9.95;28.63;387;;stable
2022;1450.0;1547.7965194721921;01;Ain;84.0;Auvergne-Rhône-Alpes;3590.0;82.0;8425.0;38.82;118.47;9.95;28.630000000000003;438;;stable
2022;1460.0;7748.919880488755;01;Ain;84.0;Auvergne-Rhône-Alpes;6903.0;44.0;8425.0;38.82;118.47;9.95;28.630000000000003;313;;stable
2022;1470.0;2318.627479269767;01;Ain;84.0;Auvergne-Rhône-Alpes;3320.0;42.0;8404.0;38.82;118.47;9.95;28.63;326;;stable
2022;1480.0;3941.8131176741726;01;Ain;84.0;Auvergne-Rhône-Alpes;18909.0;93.0;8434.0;38.82;118.47;9.95;28.630000000000003;1247;;stable
2022;1500.0;2496.040717908716;01;Ain;84.0;Auvergne-Rhône-Alpes;24799.0;100.0;8405.0;38.82;118.47;9.95;28.63;1810;;stable
2022;1510.0;2599.511569404707;01;Ain;84.0;Auvergne-Rhône-Alpes;3862.0;77.0;8404.0;38.82;118.47;9.95;28.630000000000003;491;;stable
2022;1540.0;2697.839535367834;01;Ain;84.0;Auvergne-Rhône-Alpes;4861.0;39.0;59.0;38.82;118.46999999999998;9.95;28.63;377;;stable
2022;1550.0;3754.8802276545816;01;Ain;84.0;Auvergne-Rhône-Alpes;4081.0;38.0;8416.0;38.82;118.46999999999998;9.95;28.63;403;;stable
2022;1560.0;2155.603686619988;01;Ain;84.0;Auvergne-Rhône-Alpes;6414.0;192.0;8405.0;38.82;118.46999999999998;9.95;28.63;995;;stable
2022;1570.0;2058.0380920951484;01;Ain;84.0;Auvergne-Rhône-Alpes;5488.0;37.0;59.0;38.82;118.47;9.95;28.63;484;;stable
2022;1580.0;1861.700850144133;01;Ain;84.0;Auvergne-Rhône-Alpes;3860.0;71.0;8425.0;38.82;118.47;9.95;28.63;508;;stable
2022;1590.0;1785.441922627707;01;Ain;84.0;Auvergne-Rhône-Alpes;2736.0;33.0;8425.0;48.406666666666666;101.72333333333331;9.663333333333332;27.263333333333332;107;;stable
2022;1600.0;4047.7101535877955;01;Ain;84.0;Auvergne-Rhône-Alpes;24099.0;55.0;8434.0;38.82;118.47;9.95;28.630000000000003;1301;;stable
2022;1630.0;5671.796795242024;01;Ain;84.0;Auvergne-Rhône-Alpes;22279.0;67.0;8416.0;38.82;118.47;9.95;28.630000000000003;2054;;stable
2022;1640.0;1925.673157312243;01;Ain;84.0;Auvergne-Rhône-Alpes;4514.0;56.0;8405.0;38.82;118.47;9.95;28.63;480;;stable
2022;1660.0;2579.402421026561;01;Ain;84.0;Auvergne-Rhône-Alpes;3958.0;45.0;8405.0;38.82;118.46999999999998;9.95;28.63;328;;stable
2022;1680.0;1461.9700849921703;01;Ain;84.0;Auvergne-Rhône-Alpes;1275.0;64.0;8404.0;38.82;118.47;9.95;28.63;235;;stable
2022;1700.0;6183.886910884691;01;Ain;84.0;Auvergne-Rhône-Alpes;21407.0;47.0;8421.0;38.82;118.47;9.95;28.63;1379;;stable
2022;1710.0;5598.934796671885;01;Ain;84.0;Auvergne-Rhône-Alpes;6021.0;29.0;8416.0;38.82;118.47;9.95;28.63;382;;stable
2022;1750.0;6311.592216896092;01;Ain;84.0;Auvergne-Rhône-Alpes;5479.0;18.0;59.0;38.82;118.47;9.95;28.63;352;;stable
2022;1800.0;3388.787146941072;01;Ain;84.0;Auvergne-Rhône-Alpes;22147.0;159.0;8405.0;38.82;118.47000000000001;9.95;28.63;1587;;stable
2022;1851.0;2399.768413851255;01;Ain;84.0;Auvergne-Rhône-Alpes;2276.0;40.0;8405.0;38.82;118.47;9.95;28.63;168;;stable
2022;1960.0;2554.336394611063;01;Ain;84.0;Auvergne-Rhône-Alpes;8974.0;56.0;8405.0;38.82;118.46999999999998;9.95;28.63;371;;stable
2022;1990.0;3124.5862116;01;Ain;84.0;Auvergne-Rhône-Alpes;3844.0;76.0;8434.0;38.82;118.47;9.95;28.63;262;;stable
2022;2000.0;1370.8461111302938;02;Aisne;32.0;Hauts-de-France;34335.0;202.0;3214.0;64.73;76.43;;36.77;1697;;stable
2022;2100.0;2146.48035673491;02;Aisne;32.0;Hauts-de-France;60894.0;91.0;3220.0;64.73;76.43;;36.77;2746;;stable
2022;2110.0;1028.4013632238368;02;Aisne;32.0;Hauts-de-France;15316.0;239.0;3220.0;64.73;76.43;;36.77;842;;stable
2022;2120.0;1808.9310806840317;02;Aisne;32.0;Hauts-de-France;12044.0;270.0;3220.0;64.73;76.43;;36.77;1008;;stable
2022;2130.0;1514.288005314746;02;Aisne;32.0;Hauts-de-France;7781.0;254.0;3209.0;64.73;76.43;;36.77;804;;stable
2022;2140.0;1149.9605117757667;02;Aisne;32.0;Hauts-de-France;9484.0;306.0;3214.0;64.73;76.43;;36.77;839;;stable
2022;2150.0;1096.8242439193095;02;Aisne;32.0;Hauts-de-France;2756.0;115.0;3214.0;64.73;76.43;;36.77;198;;stable
2022;2160.0;1630.7149569496107;02;Aisne;32.0;Hauts-de-France;7220.0;181.0;3214.0;64.73;76.43;;36.77;851;;stable
2022;2170.0;1087.3947139276445;02;Aisne;32.0;Hauts-de-France;4297.0;98.0;3217.0;64.73;76.43;;36.77;256;;stable
2022;2190.0;1639.3919133415977;02;Aisne;32.0;Hauts-de-France;8116.0;203.0;3214.0;64.73;76.43;;36.77;474;;stable
2022;2200.0;1925.4969206667408;02;Aisne;32.0;Hauts-de-France;48431.0;179.0;3221.0;64.73;76.43;;36.77;2495;;stable
2022;2210.0;1492.088589517349;02;Aisne;32.0;Hauts-de-France;7011.0;245.0;3209.0;64.73;76.43;;36.77;549;;stable
2022;2220.0;1588.7302484017223;02;Aisne;32.0;Hauts-de-France;8260.0;184.0;3221.0;64.73;76.43;;36.77;725;;stable
2022;2230.0;835.2442265806352;02;Aisne;32.0;Hauts-de-France;2958.0;15.0;3220.0;64.73;76.43;;36.77;117;;stable
2022;2240.0;1303.7759885934147;02;Aisne;32.0;Hauts-de-France;7175.0;158.0;3220.0;64.73;76.43;;36.77;481;;stable
2022;2250.0;938.1802031134935;02;Aisne;32.0;Hauts-de-France;5237.0;173.0;3214.0;64.73;76.43;;36.77;306;;stable
2022;2260.0;1170.5684643772404;02;Aisne;32.0;Hauts-de-France;4925.0;116.0;3217.0;64.73;76.43;;36.77;402;;stable
2022;2270.0;1088.9296744886435;02;Aisne;32.0;Hauts-de-France;7962.0;248.0;3214.0;64.73;76.43;;36.77;543;;stable
2022;2290.0;1687.1797500641574;02;Aisne;32.0;Hauts-de-France;7829.0;137.0;3221.0;64.73;76.43;;36.77;751;;stable
2022;2300.0;1569.343589656096;02;Aisne;32.0;Hauts-de-France;27331.0;241.0;3220.0;64.73;76.43;;36.77;1654;;stable
2022;2310.0;2460.1912625179893;02;Aisne;32.0;Hauts-de-France;10891.0;106.0;3209.0;64.73;76.43;;36.77;1058;;stable
